playerName,sport,position,realrating,,,,,Sport,Position,Symbol
Dillon Brooks,NBA,NBA,160.5,,,,,,,
Jonas Valan?i?nas,NBA,NBA,160,,,,,,,
Draymond Green,NBA,NBA,159.7,,,,,,,
Isaiah Hartenstein,NBA,NBA,159.6,,,,,,,
Keldon Johnson,NBA,NBA,158.9,,,,,,,
Collin Sexton,NBA,NBA,157.8,,,,,,,
Ty Jerome,NBA,NBA,157.1,,,,,,,
Naji Marshall,NBA,NBA,156,,,,,,,
Aaron Wiggins,NBA,NBA,155.7,,,,,,,
Santi Aldama,NBA,NBA,154.5,,,,,,,
Bub Carrington,NBA,NBA,154.1,,,,,,,
Alexandre Sarr,NBA,NBA,152.9,,,,,,,
T.J. McConnell,NBA,NBA,151.8,,,,,,,
Klay Thompson,NBA,NBA,151.2,,,,,,,
De'Andre Hunter,NBA,NBA,151.1,,,,,,,
Yves Missi,NBA,NBA,149.8,,,,,,,
Buddy Hield,NBA,NBA,147.2,,,,,,,
Caris LeVert,NBA,NBA,147.1,,,,,,,
Brandin Podziemski,NBA,NBA,147,,,,,,,
Bradley Beal,NBA,NBA,146.2,,,,,,,
Kelly Oubre Jr.,NBA,NBA,145.2,,,,,,,
Scoot Henderson,NBA,NBA,144.4,,,,,,,
P.J. Washington,NBA,NBA,144.2,,,,,,,
Zaccharie Risacher,NBA,NBA,144.1,,,,,,,
Guerschon Yabusele,NBA,NBA,143.2,,,,,,,
Daniel Gafford,NBA,NBA,142.3,,,,,,,
Jrue Holiday,NBA,NBA,140.5,,,,,,,
Nickeil Alexander-Walker,NBA,NBA,140.2,,,,,,,
Kevin Porter Jr.,NBA,NBA,139.4,,,,,,,
Luguentz Dort,NBA,NBA,139.4,,,,,,,
Kyle Kuzma,NBA,NBA,138.9,,,,,,,
Obi Toppin,NBA,NBA,138.8,,,,,,,
Kristaps Porzingis,NBA,NBA,138.7,,,,,,,
Zach Edey,NBA,NBA,137,,,,,,,
Keon Johnson,NBA,NBA,136.6,,,,,,,
Keon Ellis,NBA,NBA,136.2,,,,,,,
D'Angelo Russell,NBA,NBA,135.6,,,,,,,
Royce O'Neale,NBA,NBA,135.5,,,,,,,
Anthony Black,NBA,NBA,135.2,,,,,,,
Julian Champagnie,NBA,NBA,135.1,,,,,,,
Tari Eason,NBA,NBA,135,,,,,,,
Andrew Nembhard,NBA,NBA,134.6,,,,,,,
Mike Conley,NBA,NBA,134.4,,,,,,,
Donte DiVincenzo,NBA,NBA,133.9,,,,,,,
Jaylen Wells,NBA,NBA,133.3,,,,,,,
Goga Bitadze,NBA,NBA,132.9,,,,,,,
Cason Wallace,NBA,NBA,131.9,,,,,,,
Isaiah Joe,NBA,NBA,131.8,,,,,,,
Mark Williams,NBA,NBA,131.6,,,,,,,
Davion Mitchell,NBA,NBA,131.5,,,,,,,
Wendell Carter Jr.,NBA,NBA,131,,,,,,,
Gary Trent Jr.,NBA,NBA,130.8,,,,,,,
Bilal Coulibaly,NBA,NBA,130.4,,,,,,,
Bobby Portis,NBA,NBA,129.7,,,,,,,
Isaiah Collier,NBA,NBA,129.3,,,,,,,
Rui Hachimura,NBA,NBA,129.3,,,,,,,
Derrick Jones Jr.,NBA,NBA,128.3,,,,,,,
Tim Hardaway Jr.,NBA,NBA,127.1,,,,,,,
Aaron Gordon,NBA,NBA,127.1,,,,,,,
Duncan Robinson,NBA,NBA,126.1,,,,,,,
Lauri Markkanen,NBA,NBA,125.4,,,,,,,
Kyle Filipowski,NBA,NBA,125.3,,,,,,,
Luke Kornet,NBA,NBA,125.2,,,,,,,
Kawhi Leonard,NBA,NBA,125,,,,,,,
Max Christie,NBA,NBA,124.8,,,,,,,
Al Horford,NBA,NBA,124.6,,,,,,,
Kentavious Caldwell-Pope,NBA,NBA,124.4,,,,,,,
Ausar Thompson,NBA,NBA,124.2,,,,,,,
Jalen Johnson,NBA,NBA,124,,,,,,,
Kel'el Ware,NBA,NBA,123.4,,,,,,,
Miles McBride,NBA,NBA,122.9,,,,,,,
Donovan Clingan,NBA,NBA,121.4,,,,,,,
Kris Dunn,NBA,NBA,121.1,,,,,,,
Zion Williamson,NBA,NBA,121,,,,,,,
Kevin Huerter,NBA,NBA,120.8,,,,,,,
